Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
U1 small nuclear ribonucleoprotein C	Snrpc	D3ZCL3	0	0	0	0	0	32744	78351	73590	43799	40759	47096	51452	0	0	42565	32363	79693	79831	56204	58201	78631	73691	0	0	82286	89538	59904	59217	43887	46593
	Kank2	D3ZD05	60223	36062	45155	39873	34151	39041	64556	64793	57043	77695	61592	65715	77406	72321	24246	29048	56713	51774	84225	68702	49946	52153	55753	47844	55595	57843	61518	71334	0	0
Chromodomain-helicase-DNA-binding protein 5	Chd5	D3ZD32	0	0	7710.2	17266	24202	18428	15892	20329	21342	20508	5466.4	12183	6219.9	0	36543	27733	24244	24694	11110	16005	10488	34694	26301	26358	29328	42986	48093	33846	39875	24143
	Akr1cl	D3ZF77	45224	69922	145000	86404	85940	87650	96603	93373	102720	90008	148140	129120	251620	332280	0	132520	94738	78408	238650	0	36084	0	55259	68205	83453	111130	54632	0	11219	114440
	Myo18a	D3ZFD0	3695.5	25496	4805.2	3845.8	20129	30039	34554	19372	11843	21146	24613	33618	17978	15086	27471	29022	17564	17706	7109.2	26123	24259	21376	56162	38963	0	25862	27166	7250.3	70778	72505
Filamin-C	Flnc	D3ZHA0	225400	175230	175510	154400	247320	252290	441810	421760	370600	364460	401490	392180	248690	235420	159440	153090	297840	294020	447140	466060	308560	336620	42804	34994	366550	380870	509290	506630	22587	21670
Microtubule-actin cross-linking factor 1	Macf1	D3ZHV2	179880	0	27949	104050	128110	128660	114530	134260	305610	252910	137890	128180	170950	155550	60314	94299	119750	178370	109050	130090	105610	128370	115130	124830	87095	179470	115680	32851	448570	388330
"Phosphatidate cytidylyltransferase, mitochondrial"	Tamm41	D3ZKT0	0	0	13731	0	4115	3326	0	0	16491	17100	0	3775.8	5020.5	0	2522.4	2122.2	0	4684.1	4300.9	3058.5	0	2689.2	6530.9	0	3249.8	2397	2519.2	0	4076.1	7218.7
	Pnpla8	D3ZRC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3194.4	0	0	0	4508.4	4074.7	0	0	0	0	0	0
Coagulation factor XII;Coagulation factor XIIa heavy chain;Coagulation factor XIIa light chain	F12	D3ZTE0	0	4704.8	12539	8575.1	0	0	2378.7	2689.6	0	0	0	0	0	0	0	0	1549.3	0	0	0	1822.3	0	0	0	0	5695.3	0	0	0	0
Transmembrane emp24 domain-containing protein 7	Tmed7	D3ZTX0	0	0	0	3566.7	12327	8933.3	8186.5	8127.6	10159	8740	0	0	5762.7	6699.2	7119.1	0	5577.1	7416.3	3776.5	10389	4035.3	6421.1	14042	13911	2110.5	4383.7	6909.8	7556	4719.6	0
Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	No66	D3ZU57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4059.8	3880.9	4650.6	13284
Inosine triphosphate pyrophosphatase	Itpa	D3ZW55	35375	24052	22238	10692	55667	53236	72574	68068	20730	22737	63467	58100	28422	37740	51262	63213	44592	51608	62767	66657	86392	63744	28706	26560	80722	81883	50608	54988	47457	51258
F-BAR domain only protein 2	Fcho2	D3ZYR1	52768	0	0	23286	64538	50454	31879	34424	29448	30044	25920	14601	44575	47858	14563	49243	19330	17760	33438	31676	19371	12616	47473	0	32091	27358	22625	17019	120510	129710
	Cpne1	D4A1R8	37907	54420	40027	33567	35900	38714	44083	41865	53505	44306	36022	35366	52369	52656	28509	28493	39450	42498	38547	39895	43747	39325	15460	21723	29608	49804	31205	33779	58634	28519
	Mttp	D4A1W8	0	0	0	0	147650	182080	0	0	0	137610	0	0	0	0	340190	165880	0	0	0	0	0	33815	0	0	0	0	0	373400	201650	520380
	Sptlc1	D4A2H2	0	0	0	0	9710.8	6849.7	0	0	0	0	5288.8	8066.2	0	0	1418.8	0	0	1445.6	0	0	1416.4	1171.8	10781	9852	0	0	0	0	33424	36414
Histone H1.1	Hist1h1a	D4A3K5	24951	125470	157620	146370	114700	98799	34792	41815	49240	49012	22089	35414	8149	11646	158210	165760	68537	67751	24861	26723	17943	18850	26757	13677	36425	41287	47559	61548	230850	244390
Cysteine and histidine-rich domain-containing protein 1	Chordc1	D4A4T9	0	0	0	0	7480.3	8368.7	8780	6004.5	0	0	9747.4	0	1455.2	0	0	0	4183.9	5050.9	4961.8	0	6223.2	4622.2	9689.3	9597.7	7018.9	9251.7	6655.5	4904.9	3313.3	3988
	Synpo2	D4A702	106760	81527	100720	118630	104120	96807	285510	255040	245180	223460	187110	190230	207570	177580	65451	62506	162450	155890	260950	235630	175870	170680	8027.4	9530.7	147180	138430	241970	235210	4962.4	2604.6
MICOS complex subunit Mic25	Chchd6	D4A7N1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2966	2212.9	1459	1512.2	3128	0	0	0	6927.9	6117.9	0	0	0	11210	12843	0
ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Carkd	D4AAT7	0	14290	26630	31795	20926	15012	14352	15774	38671	37592	19262	24644	42464	41702	6121.4	2332.3	22244	22480	17969	16694	13779	15106	15381	16257	12921	17941	7923.2	11119	55516	56891
Inositol monophosphatase 3	Impad1	D4AD37	0	0	0	0	0	0	0	3455.8	0	0	0	0	0	0	0	0	0	6945.7	0	0	0	0	9559.6	10084	0	0	0	0	0	0
Inosine-5-monophosphate dehydrogenase 2	Impdh2	E9PU28	0	0	0	1236.1	12174	10660	14145	15473	5442.2	5806.6	17424	17386	8990.4	5491.7	4900.1	11397	10034	9782.1	11348	11483	27308	23449	0	1650.2	8640	7203.5	10878	11285	20802	21552
26S proteasome non-ATPase regulatory subunit 11	Psmd11	F1LMZ8	29494	19706	33057	40678	41552	39237	26465	24860	26571	31408	35081	33268	28215	22678	42843	36509	22914	24014	28374	27645	28818	36302	50557	24847	26781	27910	31264	32223	42655	46940
Protein phosphatase 1G	Ppm1g	F1LNI5	0	10075	1156	0	7865	12202	2176.7	0	16453	6415.8	17494	18595	3951.6	0	36995	41073	9738.9	12274	80823	5389.6	5661.8	14067	0	0	6489.5	4536.1	5028.2	0	18242	33203
U5 small nuclear ribonucleoprotein 200 kDa helicase	Snrnp200	F1LNJ2	25901	42123	52292	46536	36011	40588	45637	50039	59293	62716	42660	47544	62316	61377	37567	43445	57463	54986	52101	47927	46425	49062	30072	33299	60586	61401	42590	38657	41082	49943
E3 ubiquitin-protein ligase TRIP12	Trip12	F1LP64-2	0	0	0	0	78784	16571	22016	0	0	2619.7	44573	48410	8038.4	10186	10343	23545	11989	12694	22760	21145	45404	0	8880.2	1913.6	21339	20186	2531.8	0	38530	31138
	Hnrnpl	F1LQ48	95599	289420	234700	215800	134580	129830	197680	195140	198600	149450	135990	139630	200290	188000	193100	174280	222960	243510	197310	197900	229160	241230	62082	53331	239950	234050	154590	169480	45269	43613
	Lima1	F1LR10	0	0	18974	11792	25704	17495	6776.3	2965.8	7216.6	3502.8	9517.5	13393	3061.4	5946	6391	3286.6	11945	7777	5352.2	3716.9	7486.6	7349.8	24653	21357	5594.5	4662.8	6179.9	4537.9	40199	44780
CD2-associated protein	Cd2ap	F1LRS8	12954	10074	9299.9	13411	35976	36589	60346	44103	5274.3	0	52298	49176	21663	22084	17757	7569.9	22629	28757	17363	27371	24749	12948	20245	20274	28641	21628	6208.9	7082.7	2217.1	0
	Auh	F1LU71	0	0	9968.6	9603.5	3055.8	1579.9	0	6468.2	11348	13386	6743.9	7229.4	8411.2	9324.1	3046.4	0	4966	5777.1	7268.6	7216.1	3009.2	3212.6	19411	20848	5804.1	5573.2	9076.1	7613.6	0	0
"FERM, RhoGEF and pleckstrin domain-containing protein 1"	Farp1	F1LYQ8	2058.3	0	9851.7	5999.9	13274	15372	23966	19275	10743	14646	20315	28885	20406	23210	0	9952	28695	22589	9287	5723.5	16127	8890.8	4212	4301.7	17897	6588.8	17799	15216	12121	17130
	Diaph1	F1M775	13003	83324	90672	40417	35205	26108	38976	43319	22424	20493	60851	35120	67766	62149	7601.7	2922	18895	34964	37025	38002	13887	17754	94070	84033	36137	27810	22642	26115	51277	55362
Nucleoprotein TPR	Tpr	F1MA98	81871	24141	81435	75168	127130	121060	73289	89359	111210	134700	95570	85746	153830	159570	78425	98284	97915	80522	86309	86430	61839	52180	113050	99899	80009	67470	55937	18334	205710	219340
Muscleblind-like protein 2	Mbnl2	F2Z3T4	19657	38563	27450	31507	9949.4	5392.7	14037	11701	32992	33794	6969	17297	18856	22693	11756	9331.9	16791	17590	20101	15115	8281.8	11010	0	0	23346	25274	22722	24210	3239.6	0
	Retnlg	G3V686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7620.3	6788.2	0	0	0	0	0	0	0	0	0	0	0	0
Serine/arginine-rich splicing factor 6	Srsf6	G3V6S8	215380	2629.4	131190	57685	441130	379250	418150	408400	127540	169800	123230	421020	635810	705700	36376	14441	409490	138830	94228	413010	98373	113030	59006	55232	293140	115040	691.84	16943	383210	274550
	LOC100910833	G3V6U9	0	0	0	1306	0	0	0	0	0	0	8058.9	14102	0	0	0	0	8371.8	10338	0	0	10425	16052	9576.7	29810	0	0	0	0	37753	16877
Syntaxin-12	Stx12	G3V7P1	0	1618.7	15585	16164	9907.7	19485	21444	19664	20527	29898	11534	5347.4	10281	6758	16668	19552	22576	24337	11125	11677	19884	20466	0	0	26629	22634	20611	22442	42730	40168
	Pdcd6	G3V7W1-2	29698	0	37666	60170	33533	37749	33955	25494	28325	35039	44162	42885	52804	60485	40598	44886	64188	64939	27587	30338	40426	34089	54344	57995	43213	45006	31394	32609	32826	20696
	Lrp1	G3V928	54625	63752	75909	85349	43512	37943	42575	41982	69200	65083	51077	53590	70725	69180	50493	51918	63093	62502	48004	40606	49818	47401	40486	44002	48390	47316	50515	48759	19853	8375.7
Protein O-glucosyltransferase 1	Poglut1	G3V9D0	0	0	0	0	0	4229.9	2503.7	2222.6	0	0	0	0	0	0	0	0	6867.2	7026.5	0	0	6498.7	8660.7	0	0	3014.2	3207.3	1944.3	2179.4	0	0
Sulfotransferase 1 family member D1	Sult1d1	G3V9R3	0	0	0	2814.6	0	0	9686.5	7881.2	18714	20448	0	1100.9	5311	7890.1	0	0	4521.8	4798.8	0	0	3873.8	5241.5	0	0	6950.5	4540.7	18878	17730	0	0
Heterogeneous nuclear ribonucleoprotein C	Hnrnpc	G3V9R8	61685	53799	58640	55143	43741	41718	23788	28799	44565	50207	30960	30489	48218	49884	78292	76119	46259	40947	41629	40495	28676	33101	51230	46142	36003	42958	37671	40399	48469	38040
	Rcn3	I6L9G5	5632.3	16221	22256	25546	53543	49019	77416	83491	65840	57141	95025	103040	65482	62624	30780	28895	123420	120680	66082	59888	147110	163030	10083	12735	57601	63968	94549	93376	30903	44456
Ras-related protein Rab-5A	Rab5a	M0RC99	3597.3	4398.5	12305	4498.7	7275.3	8233.9	7835.6	8516	7702.3	8346.8	35337	36375	8919.2	8123.9	13067	10098	10262	8506.8	8110	21294	8464.3	4033.7	5628.9	5569.9	16977	10460	14213	13311	0	0
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	Ddah1	O08557	6380.1	22378	27799	20772	71002	72584	12319	10056	4117.6	4415.4	12395	14107	9790.9	13258	61639	64019	18063	13981	7227.9	6332	6795.7	6931.8	42000	35407	7221.7	6795.3	6745.7	3733.4	102740	101840
Membrane primary amine oxidase	Aoc3	O08590	267990	203660	182750	188510	77415	80633	127400	118540	155550	216980	117030	90046	165620	176470	84434	84966	139220	152110	127000	127260	121920	125830	283730	299320	169610	157130	111740	105530	3755.2	4152.2
Phosphoribosyl pyrophosphate synthase-associated protein 2	Prpsap2	O08618	0	2388200	349550	58472	475170	482860	598500	378880	0	237790	273870	427340	401780	458160	79959	505560	536170	243870	572860	404520	143210	156400	116360	95519	153720	589540	269730	0	166220	186460
Coagulation factor XIII A chain	F13a1	O08619	7257.8	18736	19659	15344	15556	13091	10477	12188	13866	13028	9801.1	14499	9988.4	9124.1	5735.7	3932.1	4256.3	5243.4	11100	14318	11691	12347	26563	26721	10657	13467	15231	14902	4103	3985.5
Procollagen C-endopeptidase enhancer 1	Pcolce	O08628	0	0	11469	19346	12088	17436	33631	35515	15268	17124	50951	25853	3356.4	3583.7	10233	9172.2	16618	4956.6	74900	60440	67203	64370	24016	13583	1808.1	21452	209800	35992	93064	6267.3
Transcription intermediary factor 1-beta	Trim28	O08629	44718	71503	64666	68183	115830	119130	68888	76870	121760	130030	85172	87161	138940	133260	89709	90226	108340	103840	93061	97223	95589	99493	53435	63673	85345	88283	64645	68921	106190	116570
D-3-phosphoglycerate dehydrogenase	Phgdh	O08651	0	0	0	1172	12256	13412	8088.1	7391.4	12988	13017	15844	15898	9313.9	10959	6936.2	7312.2	13054	13047	16112	17044	7487.2	8861.2	36085	40065	3166.9	2976.9	12568	10206	22917	28845
Vacuolar protein sorting-associated protein 45	Vps45	O08700	182380	0	0	0	70930	51686	90825	114240	93375	0	68423	77216	29500	27607	0	121900	89557	0	93045	112420	72592	106320	47869	42755	74594	72673	71893	60285	0	0
"Arginase-2, mitochondrial"	Arg2	O08701	6038.1	0	0	0	9601.9	11861	8885	20898	0	0	8432	6114.3	0	0	4538.9	7310.6	10196	0	0	4611.6	24523	19826	8197.2	8508	0	0	0	0	13382	10562
Glycogenin-1	Gyg1	O08730	0	0	0	0	29116	30545	73492	69954	38787	45631	97538	100020	34662	31570	8535	0	78188	58332	65701	57385	72274	76665	0	10012	52069	52191	42285	45010	20741	26282
STE20-like serine/threonine-protein kinase	Slk	O08815	14135	0	6857.7	10186	9273.5	8518.8	10975	9064.1	7451.7	7343.6	6278.7	4580.1	7036.1	0	4461.3	3739.3	7981.9	3992.5	7469.4	10364	11437	0	0	0	8198.7	7299.3	3927.5	0	5675.8	6511.8
Cell division cycle 5-like protein	Cdc5l	O08837	0	0	12464	8012.2	17303	16434	16990	16971	17744	14510	11114	14520	23253	21135	12282	15783	18587	22457	14898	14015	19141	22080	16381	17457	21519	21224	9422.6	10969	33095	32036
Myc box-dependent-interacting protein 1	Bin1	O08839-6	0	0	7469.5	0	0	0	8078.2	10569	7417.9	0	18939	15771	6755.8	0	0	0	12922	12060	2969.2	0	8196.6	8181.2	0	0	7064.2	7908.3	9143.8	9345	0	0
Serine/threonine-protein kinase N2	Pkn2	O08874	0	0	0	0	4223.3	3516.5	4841.4	4353.5	9203.1	0	4969.8	5622.3	6233.4	7261.4	0	0	4118.3	4573	5355.7	6796.9	0	0	6170.5	0	4047.3	0	2114.4	0	11311	10863
Lamin-B receptor	Lbr	O08984	20483	8238.7	32637	39573	37675	30376	5598.4	7241.1	16226	13546	10248	8414.3	20408	0	43225	44877	10655	13586	8680.8	2721.2	16129	13045	17103	0	10179	21777	4581	3744.1	1160.6	0
COUP transcription factor 2	Nr2f2	O09018	0	0	0	0	0	0	0	3049.3	5298.7	4634.6	0	0	9406.3	8871.4	0	0	4254.3	4224.3	0	1767.7	0	3913.2	0	0	0	2388.9	0	0	0	0
Aminopeptidase B	Rnpep	O09175	49895	41743	18264	22420	66706	74869	112260	93498	18013	13179	63397	59058	12644	43438	83138	54108	37948	27066	82606	56565	82397	28651	140370	106190	130050	137780	81922	81796	18393	29296
AMP deaminase 3	Ampd3	O09178	0	0	0	0	0	0	5448.5	5573.8	1311.7	0	28507	0	0	0	0	0	0	0	7027.1	7269.4	3609.5	4749.5	0	0	5175.4	5943.9	2669.1	3522.1	0	0
"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"	Gpd1	O35077	13883	0	8285.5	0	2055.5	2593.2	10525	13210	0	0	4616	3591	2716.2	0	5134.6	0	10390	7091.6	6055.3	0	10262	9275.7	226910	228230	18085	11125	8690.7	28515	4940.1	2131.8
Mitochondrial import inner membrane translocase subunit Tim23	Timm23	O35093	0	0	0	0	0	0	5066.8	0	0	0	7716.8	7687.9	0	0	0	0	4684.7	0	0	0	6163.3	5248.1	13483	13569	0	4699.9	0	4712.3	3309.2	0
Mitochondrial import inner membrane translocase subunit TIM44	Timm44	O35094	0	0	4989.6	6580.4	24366	25128	20286	26681	8677.9	14998	13859	17581	10951	10051	18005	16589	14438	13911	28715	22202	23307	25769	42801	42866	23145	20243	15822	17266	23578	21060
CD166 antigen	Alcam	O35112	2803	18269	24278	20797	8619.4	6211.6	50176	47254	2702.2	0	23411	20808	6141.8	6729.6	5417	6059.9	4393.2	12228	66117	69169	25663	20742	13401	21549	26054	28820	13274	10161	982.64	0
Four and a half LIM domains protein 2	Fhl2	O35115	0	0	6757.3	8243	4115.3	0	3945.4	6159.9	0	0	3822.4	0	23332	19751	0	0	9209.3	10134	0	0	0	0	0	20969	10747	12503	0	0	0	0
Coatomer subunit beta	Copb2	O35142	87473	69139	33699	28202	182080	182610	103580	92504	90550	90707	171880	167690	88638	102890	148630	170840	119280	116640	127070	117280	142680	133980	88441	80787	93719	109520	148210	128630	252540	270580
Heat shock 70 kDa protein 13	Hspa13	O35162	0	0	0	0	0	16189	13142	14428	6259.5	7005	19822	15570	0	4036.5	0	0	18342	14583	14003	0	18406	24407	0	0	0	0	12526	80615	22944	22176
Golgi SNAP receptor complex member 2	Gosr2	O35165	0	0	6844.6	0	3935.2	2645.6	7264.7	9002.9	8767.4	4424	0	0	0	6026.3	5445.2	6066.8	11577	12634	29280	32081	7182.3	7380	0	0	5841.4	13861	5693.4	38842	0	0
Endophilin-A1	Sh3gl2	O35179	0	0	0	0	0	5226.6	2386.9	0	7137.7	0	4509.8	0	0	0	3303.8	4191.2	0	0	3374.2	0	0	2177.5	0	0	0	0	0	0	11504	13098
Multiple inositol polyphosphate phosphatase 1	Minpp1	O35217	0	0	3638	7052	16520	14503	7552.8	8054.1	0	0	0	0	0	0	11898	12066	6643.2	7225.7	0	0	9701.3	8842.8	0	0	6384.5	4831.2	0	1598.1	0	0
Peroxiredoxin-6	Prdx6	O35244	115100	225190	207550	188300	140060	141150	145540	148850	130250	142560	179690	194210	194950	177130	96400	94613	160880	162580	117530	115770	174520	169560	232870	256160	124020	139380	91277	89185	110530	127220
Golgi reassembly-stacking protein 1	Gorasp1	O35254	0	0	0	0	2215.9	3637.2	0	0	0	0	0	0	0	0	2924.4	0	1979.8	0	0	0	0	0	5623.2	3046.9	0	0	0	0	0	0
Platelet-activating factor acetylhydrolase IB subunit gamma	Pafah1b3	O35263	273610	95159	96033	93095	44059	42274	80052	81732	96206	66350	33946	37922	46025	40360	106320	92536	27539	51127	63354	72555	97382	109420	49360	46834	242870	165430	211040	173830	43894	29798
Platelet-activating factor acetylhydrolase IB subunit beta	Pafah1b2	O35264	89602	116480	132350	107740	78141	65887	120250	127400	126350	118330	103610	71617	124750	127650	80537	84741	118850	109340	130210	122560	136460	144520	142440	139210	139630	138660	100020	108910	14212	17667
Neurabin-2	Ppp1r9b	O35274	0	0	0	0	73103	52499	116570	126380	4245.7	0	57989	63139	90224	90335	35883	36710	131430	133840	109800	121550	151530	78984	57781	56638	28695	0	61626	34401	49088	42836
Dynamin-1-like protein	Dnm1l	O35303-2	17479	31057	10425	8045	29385	30013	44905	44058	18573	22484	52293	53533	23846	22703	19737	19623	36484	35943	39426	39432	51023	51927	18298	18741	42725	45309	29040	31707	40859	35207
Pyridoxal kinase	Pdxk	O35331	21725	49001	35122	47487	3506.4	2390.9	73105	76087	2009.7	7624	4488.7	0	10992	7057.2	13376	16015	82151	73725	4235.8	8042.8	83397	80721	0	4296	54090	64265	0	0	23752	21613
Guanine nucleotide-binding protein subunit beta-4	Gnb4	O35353	0	0	0	0	12960	9386.4	16726	16794	18663	17644	5281.4	6865.8	14049	19896	8992.8	14824	13674	16597	19820	18715	12889	13808	0	6687.6	16513	17814	10641	6666.4	20234	21575
Signal-induced proliferation-associated 1-like protein 1	Sipa1l1	O35412	0	7698	0	0	0	0	3722.9	0	0	13065	1784.6	0	0	8125.4	0	0	4241	0	0	0	0	4974.1	0	0	0	0	0	0	41233	43742
Sorbin and SH3 domain-containing protein 2	Sorbs2	O35413	99136	86071	114620	124130	10690	14597	71160	71920	81159	97378	43119	42248	125250	107690	248630	19465	51265	54095	53329	63171	50901	75589	86877	81655	64685	100250	86094	85454	0	0
Ras-related protein Rab-11B;Ras-related protein Rab-11A	Rab11b;Rab11a	O35509	124820	40627	42877	42001	93684	75922	50028	86192	63849	55782	110970	81849	62699	39130	97809	94443	47450	38393	69220	68163	75696	129170	50949	85716	71354	81704	75864	78126	72387	77045
Long-chain-fatty-acid--CoA ligase 4	Acsl4	O35547	0	0	7189.9	3819.4	3326	4842.1	3327.5	0	14528	0	34015	30280	3760.5	3683	12048	14901	5644	6477.6	5354.6	6086.2	0	11304	28198	27078	3668.9	2186.9	820.8	0	16677	2714.5
Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase	Atic	O35567	168830	141820	108150	103510	149100	139660	150670	146610	161510	178720	170520	175240	170710	174840	127800	135120	158490	158740	149800	173020	161500	163610	163400	158940	153420	157910	123610	126980	193480	200960
EGF-containing fibulin-like extracellular matrix protein 1	Efemp1	O35568	72613	57252	59128	45393	31050	34352	48256	56388	130550	123010	41033	33880	82573	85923	59394	41862	92080	91880	65729	62814	38597	34583	10818	8796.4	86543	97000	38890	53391	8691.8	11862
Isopentenyl-diphosphate Delta-isomerase 1	Idi1	O35760	0	0	0	0	26744	25344	9359.3	9587.5	0	0	26010	27287	2927	8402	13987	14575	7588.7	5580.8	24246	22196	22973	22859	2197.6	0	2769.4	2853	4002.3	3879.4	51198	52690
Moesin	Msn	O35763	293470	360800	205090	183540	272220	246970	308620	302740	301790	244050	377630	376170	301880	260490	208870	226870	326600	338990	345000	348040	289420	305970	276910	256360	332030	326520	364050	378380	182780	165770
Calumenin	Calu	O35783	16864	20151	15418	18172	123810	137620	79217	75414	44982	55675	112100	114650	42237	45582	66477	63324	62862	60049	58385	61980	99123	108040	22083	50429	66809	72651	67377	58600	94648	114780
Kinesin-like protein KIF1C	Kif1c	O35787	21658	38463	0	0	19702	17330	18988	21112	25289	33752	32643	29191	18455	22953	0	35928	24351	23866	17182	17569	27014	26053	0	0	19008	22371	23867	13382	23809	26979
Ectonucleoside triphosphate diphosphohydrolase 2	Entpd2	O35795	61032	55197	40339	41155	37991	38049	30237	27226	35158	35534	25106	22910	93694	95790	28186	29215	50104	48790	23501	24835	44102	42341	16308	18932	26558	26437	20648	20204	0	0
"Complement component 1 Q subcomponent-binding protein, mitochondrial"	C1qbp	O35796	0	148710	56798	45170	93578	100990	76133	105370	50444	57498	88061	84906	69777	69552	69375	95092	88670	84287	92286	90206	129440	152200	217520	209040	104340	107730	58793	63395	94626	93009
Latent-transforming growth factor beta-binding protein 2	Ltbp2	O35806	0	0	0	0	4871.6	4225.4	10083	5696.5	0	2905.2	26251	30829	0	0	0	0	0	0	43101	26925	0	0	5759.4	0	0	2174.3	6953.7	0	10522	8156.2
Stress-induced-phosphoprotein 1	Stip1	O35814	37577	34849	43203	37279	46983	57774	54685	56704	60214	57410	64299	58728	64796	58122	63750	67260	55485	56953	53989	51533	53347	58183	57253	60697	50469	51653	55685	56806	116560	111260
Myb-binding protein 1A	Mybbp1a	O35821	0	4104.8	72005	69778	112140	130120	83564	95594	66818	99842	84834	89135	89498	62311	100760	90981	86807	118600	84146	79371	132510	135110	54332	54548	96304	114840	72816	80304	148640	125720
DnaJ homolog subfamily A member 2	Dnaja2	O35824	0	0	0	1240	11537	12393	20218	14768	15850	15394	0	18166	1657.1	3854.7	13275	13112	21572	20312	0	5056.6	14906	6708.9	5910.9	0	26188	22654	20157	20635	0	0
Coronin-7	Coro7	O35828	0	41481	298500	145170	59620	69799	53843	67917	121970	142590	39454	24617	50182	51825	42734	45305	121950	82454	92589	103810	60381	44883	40520	30571	86457	87384	112120	48433	223200	236110
"Branched-chain-amino-acid aminotransferase, mitochondrial"	Bcat2	O35854	12688	26810	40536	39907	25430	25667	14174	14779	15155	11029	14325	19731	22073	22396	31098	24431	12775	13229	21086	21296	15606	14832	68043	64398	17123	16925	17924	17933	42006	37519
Fanconi anemia group C protein homolog	Fancc	O35870	26175	64396	42369	45297	96793	111230	150620	170320	82818	60393	44172	42670	47562	44769	95900	100060	90693	95525	115020	100790	105130	122290	16631	8863.4	134590	154160	194680	204130	50799	82376
Afadin	Mllt4	O35889	0	0	3010.2	1906.8	4747.5	5909.5	9520.6	5641.8	0	0	7641	8445.8	10967	9961.4	6262.9	7294.1	12777	12841	8322.7	4704.1	10223	14117	12467	7603.5	8647.2	12392	4712.8	4621.7	28170	44000
"Hydroxyacylglutathione hydrolase, mitochondrial"	Hagh	O35952-2	0	0	0	0	0	6994.5	19995	16391	0	0	0	7114.8	0	0	0	0	19217	18591	3719.1	7436.2	22593	18343	2841.5	0	12667	13406	0	0	0	7397.9
Endophilin-A2	Sh3gl1	O35964	3060.5	16503	7988.1	9066.1	30282	23593	15536	14477	20957	19496	9510.1	16483	17516	17696	23730	23151	18567	20228	13294	12283	19781	23492	23046	21284	19681	19663	14202	13621	32477	39608
NSFL1 cofactor p47	Nsfl1c	O35987	30627	29647	48191	49304	61870	53883	44906	45248	48601	39077	53910	66822	67554	64128	39214	40667	49669	59367	44083	41550	43879	46288	84483	90351	45609	39033	44398	48905	116140	143520
Equilibrative nucleoside transporter 2	Slc29a2	O54699	88375	3102.7	44834	58808	36723	34458	103760	100130	99367	103820	93426	95498	107670	98188	17922	13482	49535	49898	142980	152370	88607	86626	5175	4597.8	101950	102460	112980	86630	0	0
